"","Age","Employment.Type","GraduateOrNot","AnnualIncome","FamilyMembers","ChronicDiseases","FrequentFlyer","EverTravelledAbroad","TravelInsurance"
"832",27,"Government Sector","Yes",1050000,6,1,"No","No",0
"833",34,"Private Sector/Self Employed","Yes",1500000,6,0,"Yes","Yes",1
"834",31,"Government Sector","Yes",1500000,3,0,"Yes","Yes",1
"835",33,"Private Sector/Self Employed","Yes",1400000,5,1,"Yes","Yes",1
"836",35,"Private Sector/Self Employed","No",600000,9,0,"No","No",0
"837",28,"Private Sector/Self Employed","Yes",1450000,4,0,"Yes","Yes",1
"838",29,"Private Sector/Self Employed","Yes",1100000,7,0,"Yes","No",0
"839",29,"Private Sector/Self Employed","Yes",1100000,5,0,"Yes","No",0
"840",26,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",1
"841",28,"Private Sector/Self Employed","Yes",1100000,3,0,"No","No",1
"842",34,"Private Sector/Self Employed","Yes",1500000,3,0,"Yes","Yes",1
"843",29,"Private Sector/Self Employed","Yes",1100000,3,0,"No","No",0
"844",29,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",0
"845",33,"Government Sector","Yes",1100000,2,0,"No","No",0
"846",28,"Private Sector/Self Employed","Yes",750000,3,1,"No","No",0
"847",28,"Private Sector/Self Employed","Yes",700000,4,0,"No","No",0
"848",29,"Private Sector/Self Employed","Yes",1050000,4,0,"No","No",1
"849",35,"Government Sector","Yes",900000,6,1,"No","No",0
"851",32,"Government Sector","Yes",850000,4,0,"Yes","No",0
"852",28,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",1
"853",27,"Government Sector","Yes",500000,3,1,"No","No",0
"854",31,"Government Sector","Yes",400000,6,1,"No","No",0
"855",32,"Government Sector","Yes",850000,3,1,"No","No",0
"856",26,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",0
"857",34,"Private Sector/Self Employed","Yes",700000,7,0,"No","No",1
"858",28,"Government Sector","Yes",600000,3,0,"No","No",1
"859",27,"Government Sector","Yes",1050000,5,0,"Yes","No",0
"860",28,"Private Sector/Self Employed","Yes",800000,4,0,"No","No",0
"861",34,"Private Sector/Self Employed","Yes",1000000,4,1,"No","No",0
"862",30,"Private Sector/Self Employed","No",1450000,3,1,"Yes","Yes",1
"863",28,"Government Sector","Yes",300000,3,1,"No","No",0
"864",29,"Private Sector/Self Employed","Yes",1100000,3,0,"No","No",0
"865",26,"Private Sector/Self Employed","Yes",600000,6,0,"Yes","No",0
"866",31,"Private Sector/Self Employed","Yes",1350000,5,0,"No","Yes",1
"867",31,"Private Sector/Self Employed","Yes",1400000,3,1,"No","Yes",1
"868",33,"Private Sector/Self Employed","Yes",750000,5,0,"No","No",0
"869",28,"Government Sector","Yes",1200000,5,1,"No","No",0
"871",35,"Private Sector/Self Employed","No",800000,2,0,"No","Yes",0
"872",25,"Private Sector/Self Employed","No",1700000,5,1,"Yes","Yes",0
"873",27,"Private Sector/Self Employed","No",1000000,3,0,"No","No",0
"874",32,"Government Sector","Yes",350000,3,0,"No","No",1
"875",28,"Private Sector/Self Employed","Yes",550000,4,0,"No","No",0
"876",29,"Private Sector/Self Employed","Yes",600000,3,1,"No","No",0
"877",28,"Private Sector/Self Employed","Yes",800000,4,1,"No","No",0
"878",26,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"879",26,"Private Sector/Self Employed","Yes",600000,4,0,"No","No",0
"880",29,"Private Sector/Self Employed","Yes",1050000,4,0,"No","No",1
"881",28,"Private Sector/Self Employed","Yes",750000,6,0,"Yes","No",0
"882",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"883",26,"Private Sector/Self Employed","Yes",600000,4,1,"No","No",0
"884",28,"Private Sector/Self Employed","Yes",1350000,3,0,"No","Yes",1
"885",35,"Government Sector","Yes",1100000,8,0,"Yes","No",1
"886",32,"Government Sector","Yes",350000,5,0,"No","No",0
"887",31,"Private Sector/Self Employed","Yes",1350000,3,0,"No","Yes",1
"888",28,"Government Sector","Yes",600000,4,0,"No","No",0
"889",28,"Private Sector/Self Employed","Yes",1250000,6,1,"No","No",0
"890",35,"Private Sector/Self Employed","No",800000,3,1,"No","No",0
"891",33,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"892",29,"Private Sector/Self Employed","Yes",1050000,5,1,"No","No",0
"894",31,"Government Sector","Yes",400000,2,0,"No","No",0
"895",30,"Private Sector/Self Employed","No",800000,5,0,"No","No",1
"896",28,"Private Sector/Self Employed","Yes",600000,5,0,"No","Yes",1
"897",33,"Government Sector","Yes",600000,4,0,"No","No",0
"898",31,"Government Sector","Yes",1300000,5,1,"No","No",0
"899",31,"Government Sector","Yes",1300000,5,0,"No","No",0
"900",25,"Private Sector/Self Employed","Yes",1700000,3,0,"Yes","No",1
"901",29,"Private Sector/Self Employed","Yes",1050000,3,1,"Yes","No",1
"902",33,"Government Sector","Yes",700000,2,0,"No","No",0
"903",34,"Private Sector/Self Employed","Yes",500000,7,1,"No","No",1
"904",28,"Government Sector","Yes",600000,4,0,"No","No",0
"906",28,"Private Sector/Self Employed","Yes",550000,6,0,"No","Yes",0
"907",34,"Government Sector","Yes",1300000,5,1,"No","No",0
"908",26,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"909",34,"Private Sector/Self Employed","Yes",1300000,3,0,"No","Yes",0
"910",26,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"911",34,"Government Sector","Yes",1300000,4,0,"No","No",0
"913",31,"Private Sector/Self Employed","Yes",1400000,6,0,"Yes","Yes",1
"914",31,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"915",32,"Government Sector","Yes",800000,6,1,"No","No",0
"916",28,"Government Sector","Yes",600000,2,0,"Yes","No",0
"917",26,"Private Sector/Self Employed","Yes",1500000,6,0,"Yes","Yes",1
"918",28,"Government Sector","Yes",300000,6,0,"No","No",0
"919",33,"Government Sector","Yes",1000000,7,1,"No","No",1
"920",26,"Private Sector/Self Employed","Yes",1500000,6,0,"Yes","Yes",1
"921",32,"Government Sector","Yes",650000,5,0,"No","No",0
"922",33,"Government Sector","Yes",400000,4,0,"No","No",0
"923",29,"Private Sector/Self Employed","Yes",900000,4,0,"No","No",0
"924",28,"Private Sector/Self Employed","Yes",1100000,4,1,"Yes","No",0
"925",31,"Government Sector","Yes",400000,6,0,"No","No",0
"926",30,"Private Sector/Self Employed","No",800000,3,0,"No","No",0
"927",34,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",1
"928",33,"Private Sector/Self Employed","Yes",1500000,5,1,"Yes","Yes",1
"929",26,"Private Sector/Self Employed","Yes",450000,7,0,"No","No",1
"930",26,"Private Sector/Self Employed","Yes",600000,5,0,"No","No",1
"931",34,"Private Sector/Self Employed","Yes",700000,7,1,"No","No",1
"932",28,"Government Sector","Yes",1200000,6,1,"No","No",0
"933",27,"Government Sector","Yes",1050000,5,1,"No","No",1
"934",28,"Government Sector","Yes",600000,5,0,"No","Yes",0
"935",28,"Private Sector/Self Employed","Yes",800000,5,0,"Yes","No",0
"936",27,"Private Sector/Self Employed","No",1550000,7,0,"Yes","No",1
"937",33,"Government Sector","Yes",800000,3,0,"No","No",0
"938",28,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",0
"939",28,"Government Sector","Yes",1200000,8,0,"Yes","No",1
"940",31,"Private Sector/Self Employed","Yes",500000,8,0,"No","No",1
"941",25,"Private Sector/Self Employed","Yes",1400000,6,0,"Yes","Yes",1
"942",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"943",25,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",0
"944",29,"Private Sector/Self Employed","Yes",1200000,5,1,"No","No",0
"945",33,"Government Sector","Yes",600000,3,0,"No","No",0
"946",28,"Private Sector/Self Employed","Yes",1200000,9,0,"No","No",0
"947",25,"Private Sector/Self Employed","Yes",1400000,5,0,"Yes","Yes",1
"948",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"949",29,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"950",29,"Private Sector/Self Employed","Yes",1200000,3,1,"No","Yes",1
"951",28,"Private Sector/Self Employed","Yes",550000,5,0,"No","No",0
"952",34,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"953",28,"Private Sector/Self Employed","Yes",1450000,5,0,"Yes","Yes",1
"954",29,"Private Sector/Self Employed","Yes",1750000,6,0,"No","No",0
"955",34,"Private Sector/Self Employed","Yes",1000000,5,1,"Yes","No",0
"956",34,"Private Sector/Self Employed","Yes",1300000,6,0,"No","No",1
"957",25,"Private Sector/Self Employed","No",1700000,5,0,"Yes","No",1
"958",28,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",0
"959",27,"Private Sector/Self Employed","No",350000,5,1,"No","No",0
"960",31,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",0
"961",28,"Private Sector/Self Employed","Yes",1450000,4,0,"Yes","Yes",1
"962",28,"Government Sector","No",300000,6,1,"No","No",0
"963",33,"Government Sector","Yes",1000000,5,0,"No","No",0
"964",26,"Private Sector/Self Employed","Yes",600000,6,1,"No","No",1
"965",33,"Government Sector","Yes",400000,9,1,"No","No",1
"967",25,"Private Sector/Self Employed","Yes",1700000,4,1,"Yes","No",1
"968",29,"Private Sector/Self Employed","Yes",900000,5,0,"No","No",0
"969",31,"Private Sector/Self Employed","Yes",1250000,5,1,"No","No",0
"970",31,"Private Sector/Self Employed","Yes",900000,3,0,"No","No",0
"971",27,"Private Sector/Self Employed","No",450000,7,0,"No","No",0
"972",34,"Private Sector/Self Employed","Yes",1050000,6,0,"No","Yes",1
"973",28,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",0
"974",26,"Private Sector/Self Employed","Yes",1500000,4,0,"Yes","Yes",1
"975",26,"Private Sector/Self Employed","Yes",1500000,4,0,"Yes","Yes",1
"976",30,"Private Sector/Self Employed","No",1450000,3,1,"Yes","Yes",1
"977",26,"Private Sector/Self Employed","Yes",1300000,5,0,"No","No",0
"978",34,"Private Sector/Self Employed","Yes",1500000,2,0,"Yes","Yes",1
"979",32,"Government Sector","Yes",900000,4,0,"Yes","No",0
"980",30,"Private Sector/Self Employed","No",650000,4,0,"No","No",0
"981",28,"Government Sector","Yes",300000,8,0,"No","No",0
"982",27,"Government Sector","Yes",750000,3,0,"No","No",0
"984",35,"Private Sector/Self Employed","No",950000,6,0,"Yes","No",1
"985",28,"Private Sector/Self Employed","Yes",550000,5,1,"No","No",0
"986",25,"Private Sector/Self Employed","Yes",1400000,3,1,"Yes","Yes",1
"987",25,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"988",33,"Private Sector/Self Employed","Yes",1400000,2,1,"No","Yes",1
"989",31,"Private Sector/Self Employed","Yes",1750000,7,0,"No","No",0
"990",33,"Government Sector","Yes",400000,7,1,"No","No",1
"991",29,"Private Sector/Self Employed","Yes",600000,4,0,"Yes","No",1
"992",30,"Private Sector/Self Employed","No",1450000,7,0,"Yes","Yes",1
"993",28,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",0
"994",34,"Private Sector/Self Employed","Yes",700000,2,0,"Yes","No",0
"995",28,"Private Sector/Self Employed","Yes",550000,6,1,"No","No",0
"996",27,"Government Sector","Yes",850000,5,0,"No","No",0
"997",31,"Private Sector/Self Employed","Yes",1400000,4,0,"Yes","Yes",1
"999",26,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1000",34,"Private Sector/Self Employed","Yes",1300000,6,0,"No","No",1
"1001",28,"Government Sector","Yes",300000,4,0,"No","No",0
"1002",26,"Private Sector/Self Employed","Yes",1250000,5,0,"No","No",1
"1003",29,"Private Sector/Self Employed","Yes",500000,8,0,"No","No",0
"1004",31,"Private Sector/Self Employed","Yes",1250000,5,1,"No","No",0
"1005",31,"Government Sector","No",400000,4,1,"No","No",0
"1006",27,"Private Sector/Self Employed","No",350000,4,0,"No","No",0
"1007",28,"Private Sector/Self Employed","Yes",1100000,6,0,"No","No",0
"1008",34,"Private Sector/Self Employed","Yes",1000000,6,0,"No","No",1
"1009",26,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1010",34,"Private Sector/Self Employed","Yes",1500000,4,0,"Yes","Yes",1
"1011",27,"Government Sector","Yes",500000,8,0,"No","No",0
"1012",35,"Private Sector/Self Employed","No",950000,9,0,"No","No",1
"1013",29,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1014",25,"Private Sector/Self Employed","No",600000,4,0,"Yes","No",0
"1015",26,"Government Sector","Yes",550000,5,0,"No","No",1
"1016",26,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"1017",29,"Private Sector/Self Employed","Yes",350000,9,1,"No","No",0
"1018",28,"Government Sector","Yes",300000,3,1,"No","No",0
"1019",31,"Government Sector","Yes",400000,7,0,"No","No",0
"1020",27,"Government Sector","Yes",850000,4,1,"Yes","Yes",1
"1021",25,"Private Sector/Self Employed","No",1150000,4,0,"No","No",0
"1022",28,"Private Sector/Self Employed","Yes",1150000,4,0,"No","No",1
"1024",25,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1025",32,"Government Sector","Yes",800000,9,0,"No","Yes",1
"1027",28,"Private Sector/Self Employed","Yes",700000,4,0,"No","No",0
"1028",25,"Private Sector/Self Employed","No",1150000,5,0,"Yes","No",0
"1029",25,"Private Sector/Self Employed","No",1150000,3,1,"No","No",0
"1030",31,"Government Sector","No",300000,3,0,"No","No",0
"1031",34,"Private Sector/Self Employed","Yes",1000000,3,1,"No","No",0
"1032",29,"Private Sector/Self Employed","Yes",1200000,9,0,"No","No",0
"1033",32,"Government Sector","Yes",850000,3,0,"No","No",1
"1034",31,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",0
"1035",25,"Private Sector/Self Employed","Yes",1400000,3,0,"Yes","Yes",1
"1036",34,"Private Sector/Self Employed","Yes",1300000,3,0,"No","No",0
"1037",28,"Private Sector/Self Employed","Yes",750000,5,0,"No","No",0
"1038",29,"Private Sector/Self Employed","Yes",900000,7,0,"No","No",1
"1040",28,"Private Sector/Self Employed","Yes",800000,3,1,"No","No",0
"1041",32,"Government Sector","Yes",850000,3,0,"Yes","No",1
"1042",26,"Private Sector/Self Employed","Yes",500000,2,1,"No","No",0
"1043",31,"Private Sector/Self Employed","Yes",500000,2,0,"No","No",0
"1044",30,"Private Sector/Self Employed","No",500000,8,0,"No","No",0
"1045",25,"Private Sector/Self Employed","No",1350000,6,0,"No","Yes",1
"1046",28,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",0
"1047",33,"Government Sector","Yes",400000,5,1,"No","No",0
"1048",31,"Private Sector/Self Employed","Yes",1350000,4,0,"No","Yes",1
"1049",25,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",0
"1050",29,"Private Sector/Self Employed","Yes",900000,7,0,"No","No",0
"1051",33,"Government Sector","Yes",1100000,2,1,"No","Yes",0
"1052",25,"Private Sector/Self Employed","No",600000,4,0,"Yes","Yes",0
"1053",29,"Private Sector/Self Employed","Yes",1200000,7,1,"No","No",0
"1054",34,"Private Sector/Self Employed","Yes",1050000,4,0,"No","No",1
"1055",31,"Government Sector","Yes",400000,5,0,"No","No",0
"1056",25,"Private Sector/Self Employed","Yes",1700000,5,0,"Yes","No",1
"1057",31,"Government Sector","Yes",1300000,4,0,"No","No",0
"1058",28,"Private Sector/Self Employed","Yes",700000,6,1,"No","No",0
"1059",27,"Government Sector","Yes",900000,6,0,"Yes","Yes",0
"1060",32,"Government Sector","Yes",350000,4,0,"No","No",0
"1061",35,"Private Sector/Self Employed","No",950000,5,1,"No","No",0
"1062",31,"Government Sector","Yes",400000,3,0,"No","No",0
"1063",32,"Government Sector","Yes",650000,4,0,"No","No",0
"1064",28,"Private Sector/Self Employed","Yes",1200000,6,0,"No","No",0
"1065",29,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1066",28,"Government Sector","No",300000,7,1,"No","No",0
"1067",29,"Private Sector/Self Employed","Yes",1200000,5,1,"No","No",1
"1068",34,"Private Sector/Self Employed","Yes",700000,4,0,"Yes","No",1
"1069",27,"Government Sector","Yes",500000,4,1,"No","No",1
"1070",28,"Private Sector/Self Employed","Yes",800000,4,1,"No","No",0
"1071",33,"Government Sector","Yes",800000,5,1,"No","No",0
"1072",27,"Government Sector","Yes",750000,8,0,"No","No",0
"1073",31,"Government Sector","Yes",400000,6,0,"No","No",0
"1074",28,"Private Sector/Self Employed","Yes",500000,7,0,"No","No",0
"1075",34,"Private Sector/Self Employed","Yes",1500000,5,1,"Yes","Yes",0
"1076",32,"Government Sector","Yes",650000,5,0,"Yes","No",0
"1077",31,"Private Sector/Self Employed","Yes",1350000,4,0,"No","Yes",1
"1078",27,"Government Sector","Yes",1050000,4,0,"No","No",0
"1079",31,"Government Sector","No",300000,3,0,"No","No",0
"1080",34,"Private Sector/Self Employed","Yes",1000000,3,0,"No","No",0
"1081",28,"Private Sector/Self Employed","Yes",700000,7,0,"No","No",0
"1082",26,"Government Sector","Yes",1450000,5,0,"Yes","Yes",1
"1083",29,"Private Sector/Self Employed","Yes",1200000,8,1,"No","No",0
"1084",25,"Private Sector/Self Employed","No",1150000,8,0,"No","No",0
"1085",29,"Private Sector/Self Employed","Yes",1050000,4,0,"No","No",0
"1086",28,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",0
"1087",28,"Government Sector","Yes",300000,3,0,"No","No",0
"1088",31,"Government Sector","Yes",1200000,7,1,"No","No",0
"1089",28,"Private Sector/Self Employed","Yes",1250000,9,1,"No","No",0
"1090",26,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"1091",29,"Private Sector/Self Employed","Yes",1100000,5,1,"No","No",0
"1092",34,"Private Sector/Self Employed","Yes",1500000,9,0,"Yes","Yes",1
"1093",31,"Government Sector","Yes",1500000,7,0,"Yes","Yes",1
"1094",26,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"1095",34,"Private Sector/Self Employed","Yes",700000,5,1,"No","No",0
"1096",34,"Government Sector","Yes",1100000,9,0,"No","No",1
"1097",30,"Private Sector/Self Employed","No",1450000,7,1,"Yes","Yes",1
"1098",28,"Government Sector","Yes",600000,8,0,"Yes","No",0
"1099",28,"Private Sector/Self Employed","Yes",1150000,6,1,"No","No",0
"1100",35,"Private Sector/Self Employed","No",800000,6,0,"No","No",1
"1101",27,"Private Sector/Self Employed","No",450000,3,0,"No","No",1
"1102",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1103",29,"Private Sector/Self Employed","Yes",1200000,5,1,"No","No",0
"1104",34,"Private Sector/Self Employed","Yes",1050000,5,1,"No","No",0
"1105",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"1106",26,"Government Sector","Yes",1450000,7,0,"Yes","Yes",1
"1107",34,"Private Sector/Self Employed","Yes",1300000,4,0,"No","No",0
"1108",26,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"1109",35,"Private Sector/Self Employed","No",950000,3,0,"Yes","No",1
"1110",25,"Private Sector/Self Employed","Yes",1400000,4,1,"Yes","Yes",1
"1111",29,"Private Sector/Self Employed","Yes",1100000,4,0,"No","Yes",0
"1113",35,"Private Sector/Self Employed","No",800000,4,0,"No","No",0
"1114",33,"Government Sector","Yes",400000,5,0,"No","No",0
"1115",33,"Government Sector","Yes",1000000,3,0,"No","Yes",0
"1116",34,"Private Sector/Self Employed","Yes",700000,2,0,"No","No",0
"1117",28,"Government Sector","Yes",600000,9,0,"Yes","No",1
"1118",28,"Private Sector/Self Employed","Yes",800000,5,1,"No","No",0
"1119",33,"Government Sector","Yes",1100000,2,0,"Yes","No",0
"1120",28,"Government Sector","Yes",300000,6,1,"No","No",0
"1121",31,"Government Sector","No",300000,4,0,"No","No",0
"1122",34,"Private Sector/Self Employed","Yes",1000000,6,1,"No","No",1
"1124",25,"Private Sector/Self Employed","Yes",1800000,6,1,"Yes","No",1
"1125",29,"Private Sector/Self Employed","Yes",1100000,5,0,"Yes","No",0
"1126",28,"Government Sector","Yes",300000,5,0,"No","No",0
"1127",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1128",30,"Private Sector/Self Employed","No",650000,6,0,"Yes","No",0
"1129",33,"Government Sector","Yes",700000,4,0,"No","No",0
"1130",26,"Private Sector/Self Employed","Yes",1500000,2,0,"Yes","Yes",1
"1131",28,"Private Sector/Self Employed","Yes",550000,5,0,"Yes","No",0
"1132",31,"Government Sector","Yes",400000,3,0,"No","No",0
"1133",34,"Government Sector","Yes",1300000,4,0,"No","No",1
"1134",35,"Government Sector","Yes",1100000,3,1,"No","No",1
"1135",31,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",1
"1136",28,"Private Sector/Self Employed","Yes",1100000,7,1,"No","No",1
"1137",27,"Private Sector/Self Employed","No",600000,6,0,"No","No",1
"1138",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"1139",28,"Private Sector/Self Employed","Yes",900000,6,1,"Yes","No",0
"1140",26,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1141",28,"Private Sector/Self Employed","Yes",750000,4,0,"Yes","Yes",0
"1142",33,"Private Sector/Self Employed","Yes",750000,4,1,"No","No",0
"1143",27,"Government Sector","Yes",750000,6,0,"No","No",0
"1144",27,"Government Sector","Yes",500000,4,0,"No","No",0
"1145",31,"Government Sector","No",300000,4,0,"No","No",0
"1146",28,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1147",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1148",26,"Private Sector/Self Employed","Yes",1500000,3,0,"Yes","Yes",1
"1149",28,"Private Sector/Self Employed","Yes",700000,5,0,"Yes","No",0
"1150",25,"Private Sector/Self Employed","Yes",1400000,5,0,"Yes","Yes",1
"1151",28,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",1
"1152",34,"Private Sector/Self Employed","Yes",700000,7,0,"No","No",1
"1154",28,"Private Sector/Self Employed","Yes",1150000,6,0,"No","No",0
"1155",34,"Private Sector/Self Employed","Yes",1000000,5,1,"No","No",0
"1156",28,"Government Sector","Yes",600000,4,0,"Yes","No",1
"1157",28,"Private Sector/Self Employed","Yes",1300000,6,0,"No","No",1
"1158",28,"Private Sector/Self Employed","Yes",800000,5,1,"No","No",1
"1159",34,"Private Sector/Self Employed","Yes",700000,2,0,"No","No",0
"1160",31,"Private Sector/Self Employed","Yes",1250000,3,0,"No","No",0
"1161",29,"Private Sector/Self Employed","Yes",1050000,3,1,"No","No",0
"1162",28,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",1
"1163",34,"Private Sector/Self Employed","No",1400000,4,0,"No","Yes",1
"1164",29,"Private Sector/Self Employed","Yes",900000,3,0,"No","No",0
"1165",31,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"1166",28,"Private Sector/Self Employed","Yes",1150000,2,0,"No","No",1
"1167",34,"Private Sector/Self Employed","Yes",1300000,3,0,"No","No",0
"1168",34,"Private Sector/Self Employed","Yes",1050000,4,0,"No","No",0
"1169",28,"Government Sector","Yes",600000,3,0,"No","No",0
"1170",25,"Private Sector/Self Employed","Yes",1400000,7,0,"No","Yes",1
"1171",34,"Government Sector","Yes",1300000,5,0,"No","No",0
"1172",31,"Government Sector","Yes",400000,4,0,"No","No",0
"1173",28,"Private Sector/Self Employed","Yes",900000,4,1,"No","No",1
"1174",32,"Government Sector","Yes",850000,7,0,"No","Yes",1
"1175",30,"Private Sector/Self Employed","No",800000,4,1,"Yes","No",0
"1176",33,"Government Sector","Yes",400000,4,1,"No","No",0
"1177",34,"Private Sector/Self Employed","No",1300000,5,0,"No","No",0
"1178",34,"Private Sector/Self Employed","Yes",700000,2,1,"Yes","No",0
"1179",28,"Private Sector/Self Employed","Yes",800000,4,0,"No","No",1
"1180",27,"Government Sector","Yes",500000,6,0,"No","No",0
"1181",26,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",0
"1182",28,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",0
"1183",28,"Government Sector","Yes",300000,5,0,"No","No",0
"1184",29,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",0
"1185",35,"Private Sector/Self Employed","No",800000,4,0,"No","No",0
"1186",33,"Government Sector","Yes",400000,4,0,"No","No",0
"1187",31,"Private Sector/Self Employed","Yes",900000,3,1,"No","No",0
"1188",29,"Private Sector/Self Employed","Yes",1200000,6,1,"No","No",0
"1189",26,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1190",34,"Private Sector/Self Employed","No",1300000,3,0,"No","No",0
"1191",31,"Private Sector/Self Employed","Yes",1250000,3,0,"No","No",0
"1192",25,"Private Sector/Self Employed","No",1150000,5,1,"No","No",0
"1194",34,"Private Sector/Self Employed","No",950000,3,0,"No","No",0
"1195",31,"Private Sector/Self Employed","Yes",1350000,3,0,"No","Yes",1
"1196",31,"Private Sector/Self Employed","Yes",900000,3,0,"No","No",0
"1197",28,"Government Sector","Yes",300000,2,0,"No","No",0
"1198",25,"Private Sector/Self Employed","Yes",1700000,5,1,"Yes","No",1
"1199",33,"Government Sector","Yes",400000,4,0,"No","No",0
"1200",28,"Government Sector","Yes",1200000,7,1,"No","No",0
"1201",26,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"1202",28,"Private Sector/Self Employed","Yes",650000,5,0,"Yes","No",0
"1203",31,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1204",28,"Private Sector/Self Employed","Yes",1150000,6,1,"No","No",0
"1205",28,"Private Sector/Self Employed","Yes",800000,3,1,"No","No",1
"1206",33,"Government Sector","Yes",700000,3,0,"No","No",0
"1207",29,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",1
"1208",26,"Private Sector/Self Employed","Yes",450000,6,0,"No","No",0
"1209",31,"Government Sector","Yes",1200000,9,0,"No","No",0
"1211",30,"Private Sector/Self Employed","No",800000,5,0,"No","No",1
"1212",25,"Private Sector/Self Employed","Yes",1700000,4,0,"Yes","No",1
"1213",34,"Private Sector/Self Employed","No",1300000,5,0,"No","No",0
"1214",25,"Government Sector","Yes",750000,2,0,"No","Yes",1
"1215",31,"Government Sector","Yes",1200000,2,1,"No","No",0
"1216",25,"Private Sector/Self Employed","Yes",1700000,5,0,"Yes","No",1
"1217",27,"Private Sector/Self Employed","No",800000,6,0,"No","No",1
"1218",31,"Government Sector","Yes",400000,7,0,"No","No",0
"1219",28,"Private Sector/Self Employed","Yes",1150000,7,0,"No","No",0
"1221",28,"Private Sector/Self Employed","Yes",1100000,5,0,"No","No",0
"1222",28,"Government Sector","Yes",300000,2,0,"No","No",0
"1223",29,"Private Sector/Self Employed","Yes",1350000,3,1,"Yes","Yes",0
"1224",33,"Private Sector/Self Employed","Yes",550000,5,1,"No","No",0
"1226",31,"Government Sector","No",350000,3,1,"No","No",0
"1227",34,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"1228",29,"Private Sector/Self Employed","Yes",1050000,7,0,"No","No",0
"1229",31,"Government Sector","No",400000,4,1,"No","No",0
"1230",33,"Government Sector","Yes",400000,9,0,"No","No",1
"1231",31,"Government Sector","Yes",1500000,6,0,"Yes","Yes",1
"1232",34,"Private Sector/Self Employed","Yes",1500000,4,1,"Yes","Yes",1
"1233",31,"Government Sector","No",350000,4,1,"No","No",0
"1234",27,"Government Sector","Yes",1050000,5,1,"No","No",0
"1235",34,"Government Sector","Yes",1300000,4,0,"No","No",0
"1236",28,"Government Sector","Yes",1200000,3,0,"No","No",0
"1237",28,"Government Sector","Yes",600000,3,0,"No","No",0
